"Pod: Container Image Separated by Project (kubeflow, istio-system, cert-manager)",extra Pod,extra Container Image
"application-controller-stateful-set-0:  gcr.io/kubeflow-images-public/kubernetes-sigs/application:1.0-beta,",application-controller-stateful-set-0,"gcr.io/kubeflow-images-public/kubernetes-sigs/application:1.0-beta,"
"argo-ui-65df8c7c84-9pdlv:       argoproj/argoui:v2.3.0,",argo-ui-65df8c7c84-9pdlv,"argoproj/argoui:v2.3.0,"
"cache-deployer-deployment-5f4979f45-x4kjm:      gcr.io/ml-pipeline/cache-deployer:1.0.4,",cache-deployer-deployment-5f4979f45-x4kjm,"gcr.io/ml-pipeline/cache-deployer:1.0.4,"
"cache-server-7f897fdb98-v6m2h:  gcr.io/ml-pipeline/cache-server:1.0.4,",cache-server-7f897fdb98-v6m2h,"gcr.io/ml-pipeline/cache-server:1.0.4,"
"centraldashboard-8d9bd597c-8rr7v:       gcr.io/kubeflow-images-public/centraldashboard:vmaster-g8097cfeb,",centraldashboard-8d9bd597c-8rr7v,"gcr.io/kubeflow-images-public/centraldashboard:vmaster-g8097cfeb,"
"jupyter-web-app-deployment-bf7ddff77-5d9bc:     quay.io/kubeflow/jupyter-web-app:v1.0.0,",jupyter-web-app-deployment-bf7ddff77-5d9bc,"quay.io/kubeflow/jupyter-web-app:v1.0.0,"
"katib-controller-7f78bc8b76-68qxt:      docker.io/kubeflowkatib/katib-controller:v1beta1-a96ff59,",katib-controller-7f78bc8b76-68qxt,"docker.io/kubeflowkatib/katib-controller:v1beta1-a96ff59,"
"katib-db-manager-85db457c64-9fcxd:      docker.io/kubeflowkatib/katib-db-manager:v1beta1-a96ff59,",katib-db-manager-85db457c64-9fcxd,"docker.io/kubeflowkatib/katib-db-manager:v1beta1-a96ff59,"
"katib-mysql-86886cb88-94494:    registry.redhat.io/rhscl/mysql-80-rhel7:latest,",katib-mysql-86886cb88-94494,"registry.redhat.io/rhscl/mysql-80-rhel7:latest,"
"katib-ui-65dc4cf6f5-44z7z:      docker.io/kubeflowkatib/katib-ui:v1beta1-a96ff59,",katib-ui-65dc4cf6f5-44z7z,"docker.io/kubeflowkatib/katib-ui:v1beta1-a96ff59,"
"metacontroller-0:       metacontroller/metacontroller:v0.3.0,",metacontroller-0,"metacontroller/metacontroller:v0.3.0,"
"metadata-db-c548b46fb-pkg4x:    mysql:8.0.3,",metadata-db-c548b46fb-pkg4x,"mysql:8.0.3,"
